time, amp
218.069333,-46.573683
218.090667,-46.621902
218.112000,-49.779091
218.133333,-44.855237
218.154667,-48.744000
218.176000,-43.985343
218.197333,-46.712427
218.218667,-49.183617
218.240000,-47.632151
218.261333,-48.026329
218.282667,-47.479340
218.304000,-46.413549
218.325333,-47.954808
218.346667,-47.300868
218.368000,-46.632695
218.389333,-48.227451
218.410667,-48.977910
218.432000,-45.891571
218.453333,-52.507921
218.474667,-49.635162
218.496000,-48.818227
218.517333,-49.131753
218.538667,-54.410323
218.560000,-51.887921
218.581333,-51.812852
218.602667,-47.939807
218.624000,-46.893819
218.645333,-51.388103
218.666667,-51.128544
218.688000,-48.210412
218.709333,-48.968514
218.730667,-46.860575
218.752000,-44.881627
218.773333,-49.560882
218.794667,-45.219992
218.816000,-50.508445
218.837333,-47.325564
218.858667,-49.015160
218.880000,-51.393733
218.901333,-50.233417
218.922667,-46.569653
218.944000,-48.166872
218.965333,-52.817584
218.986667,-49.028835
219.008000,-49.962425
219.029333,-48.280594
219.050667,-46.285632
219.072000,-49.552402
219.093333,-44.035601
219.114667,-50.035656
219.136000,-49.523508
219.157333,-47.605293
219.178667,-44.057050
219.200000,-49.973943
219.221333,-47.808391
219.242667,-50.152767
219.264000,-43.262878
219.285333,-45.240197
219.306667,-49.517168
219.328000,-48.430791
219.349333,-48.547924
219.370667,-47.832613
219.392000,-47.973344
219.413333,-50.636554
219.434667,-49.680980
219.456000,-48.840499
219.477333,-44.341515
219.498667,-48.569232
219.520000,-47.759652
219.541333,-48.352161
219.562667,-50.896793
219.584000,-47.213596
219.605333,-45.312283
219.626667,-48.111897
219.648000,-42.097621
219.669333,-49.677691
219.690667,-46.966922
219.712000,-44.909582
219.733333,-50.229656
219.754667,-48.537975
219.776000,-48.245242
219.797333,-49.840605
219.818667,-48.847464
219.840000,-46.150886
219.861333,-50.134446
219.882667,-48.726634
219.904000,-47.019224
219.925333,-50.318184
219.946667,-46.465938
219.968000,-49.006548
219.989333,-45.631650
220.010667,-51.514250
220.032000,-51.809606
220.053333,-51.821744
220.074667,-48.844168
220.096000,-49.901452
220.117333,-44.436975
220.138667,-45.241046
220.160000,-46.344407
220.181333,-50.950732
220.202667,-49.407935
220.224000,-48.317347
220.245333,-46.742764
220.266667,-51.508818
220.288000,-50.020353
220.309333,-42.724924
220.330667,-47.805666
220.352000,-50.316859
220.373333,-47.495236
220.394667,-46.747686
220.416000,-50.448348
220.437333,-47.213698
220.458667,-50.967736
220.480000,-48.084974
220.501333,-43.298394
220.522667,-44.945710
220.544000,-46.477706
220.565333,-46.652081
220.586667,-48.610259
220.608000,-46.340698
220.629333,-47.912163
220.650667,-48.701505
220.672000,-48.852750
220.693333,-47.788101
220.714667,-46.260779
220.736000,-47.165146
220.757333,-45.578683
220.778667,-50.873242
220.800000,-45.668220
220.821333,-47.316001
220.842667,-45.991467
220.864000,-46.899648
220.885333,-47.237751
220.906667,-51.364154
220.928000,-50.073783
220.949333,-45.441652
220.970667,-49.932867
220.992000,-45.817657
221.013333,-49.738563
221.034667,-44.994293
221.056000,-47.674555
221.077333,-51.587653
221.098667,-52.188557
221.120000,-48.164248
221.141333,-47.696494
221.162667,-48.372616
221.184000,-47.507852
221.205333,-52.511241
221.226667,-45.914181
221.248000,-46.798770
221.269333,-51.278476
221.290667,-46.039411
221.312000,-48.246685
221.333333,-54.960331
221.354667,-49.877094
221.376000,-48.054778
221.397333,-50.511984
221.418667,-48.434396
221.440000,-51.527237
221.461333,-45.219895
221.482667,-46.525723
221.504000,-49.986258
221.525333,-45.483249
221.546667,-48.602002
221.568000,-49.445456
221.589333,-46.548444
221.610667,-43.274304
221.632000,-47.767819
221.653333,-46.384830
221.674667,-50.452659
221.696000,-49.709301
221.717333,-49.134149
221.738667,-50.269598
221.760000,-46.304453
221.781333,-41.876315
221.802667,-43.585007
221.824000,-47.556110
221.845333,-46.412095
221.866667,-44.949822
221.888000,-42.327906
221.909333,-47.213676
221.930667,-48.176130
221.952000,-48.144285
221.973333,-47.638192
221.994667,-48.494954
222.016000,-47.571269
222.037333,-44.631605
222.058667,-46.655706
222.080000,-43.389769
222.101333,-48.457202
222.122667,-50.587281
222.144000,-48.211357
222.165333,-43.933436
222.186667,-47.364725
222.208000,-43.343047
222.229333,-46.391420
222.250667,-45.269895
222.272000,-45.249023
222.293333,-47.845312
222.314667,-48.851176
222.336000,-46.338626
222.357333,-45.648947
222.378667,-53.229601
222.400000,-45.610185
222.421333,-47.098071
222.442667,-48.020978
222.464000,-41.994588
222.485333,-49.169835
222.506667,-45.439307
222.528000,-46.619663
222.549333,-45.068285
222.570667,-46.765764
222.592000,-50.769508
222.613333,-50.786020
222.634667,-46.970602
222.656000,-50.057532
222.677333,-47.295858
222.698667,-46.831036
222.720000,-48.947965
222.741333,-51.793681
222.762667,-47.544167
222.784000,-46.887711
222.805333,-50.351953
222.826667,-47.319909
222.848000,-47.584463
222.869333,-52.395002
222.890667,-49.462881
222.912000,-50.675663
222.933333,-50.519684
222.954667,-44.021431
222.976000,-49.891469
222.997333,-48.944417
223.018667,-46.736156
223.040000,-48.584387
223.061333,-47.685648
223.082667,-44.838981
223.104000,-46.273510
223.125333,-42.990186
223.146667,-47.120065
223.168000,-49.491825
223.189333,-49.899771
223.210667,-47.314579
223.232000,-47.065955
223.253333,-48.837503
223.274667,-47.851032
223.296000,-48.526273
223.317333,-47.813381
223.338667,-50.360513
223.360000,-46.349098
223.381333,-46.705569
223.402667,-47.135523
223.424000,-46.465246
223.445333,-44.860219
223.466667,-45.588868
223.488000,-47.048389
223.509333,-45.027296
223.530667,-48.874623
223.552000,-41.300820
223.573333,-47.295729
223.594667,-43.769526
223.616000,-46.934023
223.637333,-49.877091
223.658667,-48.390610
223.680000,-47.334552
223.701333,-44.977287
223.722667,-48.796773
223.744000,-47.140807
223.765333,-48.127003
223.786667,-44.945220
223.808000,-42.930529
223.829333,-47.104859
223.850667,-43.935646
223.872000,-48.933990
223.893333,-48.180296
223.914667,-48.513485
223.936000,-51.484598
223.957333,-49.655039
223.978667,-45.568752
224.000000,-50.158347
224.021333,-46.215561
224.042667,-49.218448
224.064000,-54.220690
224.085333,-51.432833
224.106667,-46.334190
224.128000,-45.599426
224.149333,-48.584703
224.170667,-46.747046
224.192000,-48.183162
224.213333,-43.187529
224.234667,-46.400525
224.256000,-51.944973
224.277333,-47.760068
224.298667,-49.830490
224.320000,-45.409862
224.341333,-48.951297
224.362667,-50.705798
224.384000,-51.393546
224.405333,-43.889582
224.426667,-47.229672
224.448000,-46.857192
224.469333,-48.171873
224.490667,-50.774824
224.512000,-49.652936
224.533333,-48.954786
224.554667,-49.677281
224.576000,-46.640176
224.597333,-41.572337
224.618667,-48.642479
224.640000,-45.587612
224.661333,-49.564415
224.682667,-49.658093
224.704000,-47.631357
224.725333,-46.378827
224.746667,-44.862218
224.768000,-47.371070
